               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040274,            0.032499,           0.0067004,             0.92203,             0.91922,             0.96189,             0.59797,            0.034564,            0.014189,           0.0033226,            0.008845,            0.008845,            0.008845
                  37,            0.041523,            0.032098,           0.0070764,             0.93545,             0.94403,             0.98266,             0.61961,            0.031713,            0.013955,           0.0028545,            0.008812,            0.008812,            0.008812
                  38,            0.037621,            0.032943,           0.0054649,             0.94372,             0.94098,             0.98178,             0.63931,            0.030729,             0.01378,           0.0033006,            0.008779,            0.008779,            0.008779
                  39,            0.037427,            0.030156,            0.006771,             0.93191,             0.89142,             0.96467,              0.6068,            0.030545,            0.013786,           0.0038062,            0.008746,            0.008746,            0.008746
                  40,            0.038072,            0.030122,           0.0058137,             0.92986,             0.93462,             0.97705,             0.65843,            0.028498,            0.013561,           0.0028301,            0.008713,            0.008713,            0.008713
                  41,            0.036726,            0.025329,           0.0067788,             0.89714,             0.94752,             0.95705,             0.62329,            0.032316,             0.01439,           0.0027763,             0.00868,             0.00868,             0.00868
                  42,            0.036002,            0.028502,           0.0051118,             0.95208,             0.92576,             0.97188,             0.64633,            0.031794,            0.014151,            0.002791,            0.008647,            0.008647,            0.008647
                  43,            0.036451,            0.027976,           0.0048133,             0.92308,             0.93832,             0.96788,             0.69138,            0.028106,            0.013441,           0.0025098,            0.008614,            0.008614,            0.008614
                  44,            0.035065,            0.027583,           0.0050833,             0.88485,             0.93772,             0.97041,             0.64246,            0.028909,            0.013787,           0.0027342,            0.008581,            0.008581,            0.008581
                  45,            0.035351,            0.028612,            0.006173,             0.94298,             0.95994,             0.97942,             0.65514,            0.032713,            0.013268,            0.002608,            0.008548,            0.008548,            0.008548
                  46,            0.036346,             0.02604,           0.0049979,             0.97823,             0.97913,             0.99305,             0.70373,             0.02615,            0.012437,           0.0021147,            0.008515,            0.008515,            0.008515
                  47,            0.034368,            0.027936,           0.0044876,             0.93732,             0.98547,             0.98346,             0.66373,            0.029073,            0.012838,           0.0019252,            0.008482,            0.008482,            0.008482
                  48,            0.034663,            0.029008,           0.0039455,             0.91185,             0.93329,             0.96331,             0.67464,            0.027607,            0.012622,           0.0019391,            0.008449,            0.008449,            0.008449
                  49,             0.03516,            0.026183,           0.0051045,             0.90249,             0.94452,             0.97865,             0.64731,            0.029757,            0.013203,           0.0027494,            0.008416,            0.008416,            0.008416
                  50,             0.03213,             0.02496,           0.0050516,             0.93659,             0.91933,             0.97478,             0.69542,            0.027036,            0.012757,           0.0037436,            0.008383,            0.008383,            0.008383
                  51,            0.032541,            0.025495,           0.0042472,             0.91852,             0.95912,             0.97869,             0.65859,            0.028083,            0.013495,           0.0030162,             0.00835,             0.00835,             0.00835
                  52,             0.03272,            0.026155,           0.0045391,              0.9325,             0.96467,             0.97598,             0.68176,            0.026367,            0.013309,            0.002195,            0.008317,            0.008317,            0.008317
                  53,            0.032725,            0.027681,           0.0044967,             0.92995,             0.97395,             0.98356,             0.63698,            0.030156,            0.013398,           0.0031784,            0.008284,            0.008284,            0.008284
                  54,            0.034635,            0.028322,           0.0043863,             0.97648,              0.9763,             0.99358,              0.7265,            0.024577,            0.012135,           0.0019964,            0.008251,            0.008251,            0.008251
                  55,            0.032654,             0.02647,           0.0045617,             0.91351,             0.98683,              0.9757,             0.63897,            0.030681,            0.012894,           0.0018122,            0.008218,            0.008218,            0.008218
                  56,            0.033948,            0.025534,           0.0041559,             0.96602,              0.9792,             0.99162,             0.72441,             0.02745,             0.01171,           0.0016404,            0.008185,            0.008185,            0.008185
                  57,            0.033396,            0.027699,           0.0039729,             0.94521,             0.97898,             0.99055,             0.67257,            0.029062,            0.012415,            0.002283,            0.008152,            0.008152,            0.008152
